NO2,PM2.5,PM10,O3,tavg,prcp,snow,wdir,wspd,pres,year,month,day,day_of_week,week_of_year,is_spring,is_summer,is_autumn,is_winter
0.10726013531785789,0.4919593887831844,0.3754378772441843,0.6587263013732908,0.3792134831460674,0.2831325301204819,0.0,0.6155988857938719,0.6477732793522268,0.21792618629173788,1970,1,1,3,1,0,0,0,1
0.2555663441256236,0.19610338416460518,0.40358176482288044,0.5154522889945209,0.3623595505617977,0.2710843373493976,0.0,0.637883008356546,0.5222672064777328,0.35852372583479664,1970,1,1,3,1,0,0,0,1
0.06994599133079729,0.25053619594198223,0.5388843111069618,0.674089565626633,0.43258426966292135,0.5722891566265059,0.0,0.7019498607242339,0.5496546796856394,0.08435852372583241,1970,1,1,3,1,0,0,0,1
0.2772007180551728,0.33991874031976216,0.6817652287921285,0.5575306750385213,0.41573033707865165,0.036144578313253004,0.0,0.649025069637883,0.7206477732793521,0.14235500878734442,1970,1,1,3,1,0,0,0,1
0.3459903005890216,0.2169397567175807,0.40791081308172217,0.5768158400518942,0.3651685393258427,0.16265060240963855,0.0,0.6239554317548747,0.51417004048583,0.17047451669595404,1970,1,1,3,1,0,0,0,1
0.6239842790216111,0.3790649239393253,0.35162506748281974,0.27829037849470234,0.3174157303370786,0.0,0.0,0.8217270194986073,0.340080971659919,0.39367311072055955,1970,1,1,3,1,0,0,0,1
0.20918636725379952,0.26882738370523035,0.25312247573662827,0.33212580495208543,0.2191011235955056,0.0,0.0,0.1392757660167131,0.7206477732793521,0.7065026362038651,1970,1,1,3,1,0,0,0,1
0.5349691323843397,0.36234740530826226,0.38626151267053366,0.22561275488745827,0.21629213483146065,0.0,0.0,0.21727019498607242,0.7327935222672065,0.6836555360281196,1970,1,1,3,1,0,0,0,1
0.7025531136757573,0.6016196066137558,0.6406341964369071,0.04746317984826334,0.2640449438202247,0.0,0.0,0.3286908077994429,0.43724696356275305,0.45342706502636076,1970,1,1,3,1,0,0,0,1
0.6775216279351277,0.40224472882918394,0.3992506870055488,0.13442062217226142,0.37640449438202245,0.15662650602409636,0.0,0.45125348189415043,0.31578947368421056,0.39367311072055955,1970,1,1,3,1,0,0,0,1
0.43701960743913404,0.6758489898409881,0.6049139670156155,0.008425109019216833,0.348314606741573,0.0,0.0,0.11420612813370473,0.12550607287449395,0.5483304042179249,1970,1,1,3,1,0,0,0,1
0.8648804572064357,0.6922840550380691,0.7066618227870709,0.003295359068060137,0.3258426966292135,0.0,0.0,0.04456824512534819,0.12145748987854248,0.7135325131810184,1970,1,1,3,1,0,0,0,1
0.78222942223344,0.950089547050224,0.8668609630660946,0.08930865792074777,0.30617977528089885,0.0,0.0,0.3147632311977716,0.3684210526315789,0.6889279437609837,1970,1,1,3,1,0,0,0,1
0.5052630765625039,0.7152838346623129,0.6027484281069496,0.15645833593991357,0.26685393258426965,0.0,0.0,0.3008356545961003,0.51417004048583,0.611599297012301,1970,1,1,3,1,0,0,0,1
0.4524211182395801,0.48307917697414776,0.46960939117304423,0.3338504788568646,0.3258426966292135,0.8012048192771084,0.0,0.5403899721448469,0.805668016194332,0.3057996485061487,1970,1,1,3,1,0,0,0,1
0.153511336154387,0.15861777842614463,0.3927560998380412,0.629797591423597,0.3342696629213483,0.5,0.0,0.7019498607242339,0.6194331983805668,0.10544815465729229,1970,1,1,3,1,0,0,0,1
0.10968627582281448,0.18605611201296185,0.40791081308172217,0.6596608205482577,0.31179775280898875,0.16265060240963855,0.0,0.7520891364902507,0.6437246963562753,0.2284710017574696,1970,1,1,3,1,0,0,0,1
0.21918711415480427,0.19231664581891322,0.36569599649292295,0.5839955651242449,0.3202247191011236,0.6686746987951806,0.0,0.6740947075208914,0.8663967611336033,0.1985940246045672,1970,1,1,3,1,0,0,0,1
0.2288659209675716,0.16105743116361504,0.332141305980297,0.602187410072981,0.2893258426966292,0.3253012048192771,0.0,0.6713091922005571,0.31578947368421056,0.36028119507908585,1970,1,1,3,1,0,0,0,1
0.5575152406437771,0.36956703923619627,0.35487236106657355,0.36869428133935556,0.24719101123595505,0.06626506024096385,0.0,0.5821727019498607,0.29554655870445345,0.31810193321616964,1970,1,1,3,1,0,0,0,1
0.38066196033183014,0.27826319073056116,0.3429649414066464,0.47969802807792217,0.2696629213483146,0.12650602409638553,0.0,0.6601671309192201,0.2793522267206478,0.46748681898066735,1970,1,1,3,1,0,0,0,1
0.4053766570256342,0.22882142424816174,0.396003393421795,0.42578271996088685,0.3567415730337078,0.036144578313253004,0.0,0.7103064066852368,0.43724696356275305,0.40773286467486614,1970,1,1,3,1,0,0,0,1
0.5342479865866882,0.3101928443060802,0.3527068221579077,0.3907984027517788,0.40730337078651685,0.09036144578313252,0.0,0.596100278551532,0.5748987854251013,0.5711775043936704,1970,1,1,3,1,0,0,0,1
0.1887959698251994,0.17044667993059717,0.2368860078178593,0.5052312862775821,0.5168539325842697,0.25301204819277107,0.0,0.6044568245125348,0.9473684210526315,0.45166959578207155,1970,1,1,3,1,0,0,0,1
0.54462733503146,0.2205371581459881,0.36461424181783497,0.45996437085493586,0.4044943820224719,0.006024096385542168,0.0,0.5793871866295265,0.4898785425101214,0.4411247803163434,1970,1,1,3,1,0,0,0,1
0.8809774616183026,0.6808245157165161,0.5486261918582231,0.13961196762001735,0.3342696629213483,0.0,0.0,0.5626740947075209,0.16194331983805665,0.5676625659050956,1970,1,1,3,1,0,0,0,1
