NO2,PM2.5,PM10,O3,year,month,day,day_of_week,week_of_year,is_spring,is_summer,is_autumn,is_winter
0.14405192055418747,0.5942608786720428,0.43548035317165124,0.5588715231636674,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.24363766081333,0.14510656123998536,0.37823990590397993,0.5182511581119275,0.0,0.0,0.03333333333333333,0.5,0.0,0.0,0.0,0.0,1.0
0.1748521322869439,0.1625229093574907,0.3936629290501988,0.5943945763306022,0.0,0.0,0.06666666666666668,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
0.20081931370969597,0.20835471540032469,0.47870765971202567,0.5285667608778692,0.0,0.0,0.1,0.8333333333333333,0.0,0.0,0.0,0.0,1.0
0.23981956686842648,0.2191469864376604,0.36699784622934345,0.518890346352388,0.0,0.0,0.13333333333333333,1.0,0.0,0.0,0.0,0.0,1.0
0.22978067248164602,0.1253966591611248,0.28182653772603883,0.5052244827195317,0.0,0.0,0.16666666666666669,0.0,0.019230769230769232,0.0,0.0,0.0,1.0
0.23538928908425583,0.16647117348274598,0.4484321873819418,0.5710761129353219,0.0,0.0,0.2,0.16666666666666666,0.019230769230769232,0.0,0.0,0.0,1.0
0.6199028791051989,0.21574331046761275,0.40510167121697777,0.34909870647732977,0.0,0.0,0.23333333333333334,0.3333333333333333,0.019230769230769232,0.0,0.0,0.0,1.0
0.24653287611332309,0.18217259255380427,0.3872892478939394,0.4874586694787139,0.0,0.0,0.26666666666666666,0.5,0.019230769230769232,0.0,0.0,0.0,1.0
0.4631930220248096,0.2378593496360685,0.506437943752702,0.38267371202616957,0.0,0.0,0.3,0.6666666666666666,0.019230769230769232,0.0,0.0,0.0,1.0
0.3816943223401073,0.44576373252343304,0.5225581187027524,0.410835145636802,0.0,0.0,0.3333333333333333,0.8333333333333333,0.019230769230769232,0.0,0.0,0.0,1.0
0.5296679017744126,0.4462507200083783,0.515002395242231,0.2999536088415642,0.0,0.0,0.3666666666666667,1.0,0.019230769230769232,0.0,0.0,0.0,1.0
0.59697590389174,0.35108393988584596,0.5186770473479021,0.31932263193140586,0.0,0.0,0.4,0.0,0.038461538461538464,0.0,0.0,0.0,1.0
0.5163770684219006,0.3391003822589935,0.3521843440736254,0.31442822182784974,0.0,0.0,0.43333333333333335,0.16666666666666666,0.038461538461538464,0.0,0.0,0.0,1.0
0.7327127108697153,0.35965858511808146,0.4694285302559988,0.2499740419082674,0.0,0.0,0.4666666666666667,0.3333333333333333,0.038461538461538464,0.0,0.0,0.0,1.0
0.5412993947204897,0.21172959103524117,0.3242826931091023,0.34208192469009846,0.0,0.0,0.5,0.5,0.038461538461538464,0.0,0.0,0.0,1.0
0.34286667740673404,0.17821909200397967,0.30734073586514976,0.4686011874993451,0.0,0.0,0.5333333333333333,0.6666666666666666,0.038461538461538464,0.0,0.0,0.0,1.0
0.5219764792524912,0.28246845054196995,0.43269564065913946,0.25743949383150005,0.0,0.0,0.5666666666666667,0.8333333333333333,0.038461538461538464,0.0,0.0,0.0,1.0
0.6777933764470323,0.4437136723045505,0.49626692735210837,0.09405497780940379,0.0,0.0,0.6,1.0,0.038461538461538464,0.0,0.0,0.0,1.0
0.8748360221859105,0.6463973398963189,0.6881803558979431,0.019919620411728678,0.0,0.0,0.6333333333333333,0.0,0.057692307692307696,0.0,0.0,0.0,1.0
0.6843064601505143,0.48254437869822486,0.5335294965317672,0.11394030496232982,0.0,0.0,0.6666666666666666,0.16666666666666666,0.057692307692307696,0.0,0.0,0.0,1.0
0.3862304665024971,0.4662355343771273,0.44267776397322,0.3660271926490494,0.0,0.0,0.7,0.3333333333333333,0.057692307692307696,0.0,0.0,0.0,1.0
0.6474925778463096,0.5557495941770959,0.6111022398435887,0.23485928809099904,0.0,0.0,0.7333333333333333,0.5,0.057692307692307696,0.0,0.0,0.0,1.0
0.6019148005799636,0.169691574592868,0.5346511709424012,0.3478441447594661,0.0,0.0,0.7666666666666667,0.6666666666666666,0.057692307692307696,0.0,0.0,0.0,1.0
0.3555154081609169,0.6219484735822381,0.4578125791111509,0.43928140381360087,0.0,0.0,0.8,0.8333333333333333,0.057692307692307696,0.0,0.0,0.0,1.0
0.19830843939149845,0.21964968319631356,0.5561771933992576,0.5769983682124353,0.0,0.0,0.8333333333333334,1.0,0.057692307692307696,0.0,0.0,0.0,1.0
0.30506547605348555,0.22204272922448554,0.41634957294583635,0.5548468282069674,0.0,0.0,0.8666666666666667,0.0,0.07692307692307693,0.0,0.0,0.0,1.0
0.26893282087869097,0.21393412577891818,0.3366717427626685,0.49949655590896663,0.0,0.0,0.9,0.16666666666666666,0.07692307692307693,0.0,0.0,0.0,1.0
0.745225656486617,0.6509739749698906,0.6371539069711285,0.19560112748614217,0.0,0.0,0.9333333333333333,0.3333333333333333,0.07692307692307693,0.0,0.0,0.0,1.0
0.9911739660767301,0.9699664868827567,0.8937505598635296,0.052846864405407284,0.0,0.0,0.9666666666666667,0.5,0.07692307692307693,0.0,0.0,0.0,1.0
0.7829117856896274,0.9102450646698436,0.8319610997082867,0.17453649326661388,0.0,0.0,0.9999999999999999,0.6666666666666666,0.07692307692307693,0.0,0.0,0.0,1.0
0.17041264873075418,0.1726396816253862,0.3346776549215412,0.5861546683127431,0.0,0.09090909090909091,0.0,0.8333333333333333,0.07692307692307693,0.0,0.0,0.0,1.0
0.2931278911877747,0.1999790543017228,0.4983272251410856,0.46343338391589006,0.0,0.09090909090909091,0.03333333333333333,1.0,0.07692307692307693,0.0,0.0,0.0,1.0
