NO2,PM2.5,PM10,O3,tavg,prcp,wdir,wspd,pres,year,month,day,day_of_week,week_of_year,is_spring,is_summer,is_autumn,is_winter
0.10932631197612178,0.4623921854574358,0.3102995604621259,0.6593164923998666,0.3792134831460674,0.27647058823529413,0.6155988857938719,0.6504065040650407,0.21792618629173788,2018,1,1,0,1,0,0,0,1
0.26048937739707506,0.14931780409777376,0.34419873565634884,0.5033285711403418,0.3623595505617977,0.2647058823529412,0.637883008356546,0.524390243902439,0.35852372583479664,2018,1,2,1,1,0,0,0,1
0.07129337705055744,0.20691852406571679,0.5071699921284095,0.6746531877709957,0.43258426966292135,0.5588235294117647,0.7019498607242339,0.5518890483022478,0.08435852372583241,2018,1,3,2,1,0,0,0,1
0.2825404992478992,0.3015029987715876,0.679269359956584,0.5582958714957289,0.41573033707865165,0.03529411764705882,0.649025069637883,0.7235772357723578,0.14235500878734442,2018,1,4,3,1,0,0,0,1
0.37428366668154234,0.17136682235316528,0.3494130531503474,0.5775476851802923,0.3651685393258427,0.15882352941176472,0.6239554317548747,0.5162601626016261,0.17047451669595404,2018,1,5,4,1,0,0,0,1
0.6706376186888507,0.33507084721045266,0.2816171473551945,0.2688374836790007,0.3174157303370786,0.0,0.8217270194986073,0.34146341463414637,0.39367311072055955,2018,1,6,5,1,0,0,0,1
0.21321597236259393,0.226274231585309,0.16297125647206073,0.3332808115007441,0.2191011235955056,0.0,0.1392757660167131,0.7235772357723578,0.7065026362038651,2018,1,7,6,1,0,0,0,1
0.5452743658333616,0.3252369784994975,0.3233365764937687,0.2269519626992507,0.21629213483146065,0.0,0.21727019498607242,0.7357723577235773,0.6836555360281196,2018,1,8,0,2,0,0,0,1
0.7179057734562245,0.5784344638669373,0.6297272322803654,0.04911047551153543,0.2640449438202247,0.0,0.3286908077994429,0.4390243902439025,0.45342706502636076,2018,1,9,1,2,0,0,0,1
0.6905728828954172,0.3674562665457961,0.3389819735690573,0.1397692434069888,0.37640449438202245,0.15294117647058825,0.45125348189415043,0.3170731707317074,0.39367311072055955,2018,1,10,2,2,0,0,0,1
0.4470827153331425,0.6326685454151311,0.5867023903233218,0.010139916240487223,0.348314606741573,0.0,0.11420612813370473,0.12601626016260165,0.5483304042179249,2018,1,11,3,2,0,0,0,1
0.8815408483906617,0.6743754475165704,0.7092571858819847,0.0050190375630382094,0.3258426966292135,0.0,0.04456824512534819,0.12195121951219512,0.7135325131810184,2018,1,12,4,2,0,0,0,1
0.7972976875198524,0.9471848333760321,0.9022162682794462,0.09088358695934139,0.30617977528089885,0.0,0.3147632311977716,0.3699186991869919,0.6889279437609837,2018,1,13,5,2,0,0,0,1
0.5149960754253371,0.6987137798973914,0.584094009279676,0.1576769465343757,0.26685393258426965,0.0,0.3008356545961003,0.5162601626016261,0.611599297012301,2018,1,14,6,2,0,0,0,1
0.4428495299698371,0.45299515860972617,0.4237286892579681,0.3350025027934249,0.3258426966292135,0.7823529411764706,0.5403899721448469,0.8089430894308944,0.3057996485061487,2018,1,15,0,3,0,0,0,1
0.15646846033291942,0.10965059219990934,0.331159275031413,0.6304378111077911,0.3342696629213483,0.4882352941176471,0.7019498607242339,0.6219512195121951,0.10544815465729229,2018,1,16,1,3,0,0,0,1
0.11179918778367848,0.13868579574194143,0.3494130531503474,0.6602493954384788,0.31179775280898875,0.15882352941176472,0.7520891364902507,0.6463414634146343,0.2284710017574696,2018,1,17,2,3,0,0,0,1
0.22756232723339798,0.14531068324695032,0.29856551265565945,0.5841856121563702,0.3202247191011236,0.6529411764705882,0.6740947075208914,0.869918699186992,0.1985940246045672,2018,1,18,3,3,0,0,0,1
0.23327461784618292,0.11223222907593164,0.2581490517422616,0.6028753781812137,0.2893258426966292,0.31764705882352945,0.6713091922005571,0.3170731707317074,0.36028119507908585,2018,1,19,4,3,0,0,0,1
0.5682547849621848,0.3328767843183625,0.28552849662401664,0.36978604719086655,0.24719101123595505,0.06470588235294118,0.5821727019498607,0.29674796747967486,0.31810193321616964,2018,1,20,5,3,0,0,0,1
0.38516484526150263,0.2639608747347746,0.27118606777390447,0.48059782655689604,0.2696629213483146,0.12352941176470589,0.6601671309192201,0.2804878048780488,0.46748681898066735,2018,1,21,6,3,0,0,0,1
0.4131855208133713,0.19201334831076866,0.33507062430023515,0.4255094697824924,0.3567415730337078,0.03529411764705882,0.7103064066852368,0.4390243902439025,0.40773286467486614,2018,1,22,0,4,0,0,0,1
0.5445393284383343,0.2700471000926236,0.28292011558037083,0.3918519422349513,0.40730337078651685,0.08823529411764705,0.596100278551532,0.5772357723577237,0.5711775043936704,2018,1,23,1,4,0,0,0,1
0.19243279001819213,0.12216791807080123,0.14341451012794998,0.5060869281165062,0.5168539325842697,0.24705882352941178,0.6044568245125348,0.9512195121951221,0.45166959578207155,2018,1,24,2,4,0,0,0,1
0.5551186166596225,0.17517358716144757,0.29726254443048306,0.4608982962750171,0.4044943820224719,0.0058823529411764705,0.5793871866295265,0.49186991869918706,0.4411247803163434,2018,1,25,3,4,0,0,0,1
0.8979479331010963,0.6748944025120048,0.518904039934876,0.1370003180132912,0.3342696629213483,0.0,0.5626740947075209,0.16260162601626016,0.5676625659050956,2018,1,26,4,4,0,0,0,1
0.2835249243305253,0.5066183184544337,0.24510959111732578,0.4561790174638296,0.348314606741573,0.06470588235294118,0.5988857938718662,0.5772357723577237,0.7398945518453424,2018,1,27,5,4,0,0,0,1
