,NO2,year,tavg,pres,week_of_year,O3,PM2.5,wdir,wspd,PM10
0,0.1093263119761217,2018,0.3792134831460674,0.2179261862917378,1,0.6593164923998666,0.4623921854574358,0.6155988857938719,0.6504065040650407,0.3102995604621259
1,0.260489377397075,2018,0.3623595505617977,0.3585237258347966,1,0.5033285711403418,0.1493178040977737,0.637883008356546,0.524390243902439,0.3441987356563488
2,0.0712933770505574,2018,0.4325842696629213,0.0843585237258324,1,0.6746531877709957,0.2069185240657167,0.7019498607242339,0.5518890483022478,0.5071699921284095
3,0.2825404992478992,2018,0.4157303370786516,0.1423550087873444,1,0.5582958714957289,0.3015029987715876,0.649025069637883,0.7235772357723578,0.679269359956584
4,0.3742836666815423,2018,0.3651685393258427,0.170474516695954,1,0.5775476851802923,0.1713668223531652,0.6239554317548747,0.5162601626016261,0.3494130531503474
5,0.6706376186888507,2018,0.3174157303370786,0.3936731107205595,1,0.2688374836790007,0.3350708472104526,0.8217270194986073,0.3414634146341463,0.2816171473551945
6,0.2132159723625939,2018,0.2191011235955056,0.7065026362038651,1,0.3332808115007441,0.226274231585309,0.1392757660167131,0.7235772357723578,0.1629712564720607
7,0.5452743658333616,2018,0.2162921348314606,0.6836555360281196,2,0.2269519626992507,0.3252369784994975,0.2172701949860724,0.7357723577235773,0.3233365764937687
8,0.7179057734562245,2018,0.2640449438202247,0.4534270650263607,2,0.0491104755115354,0.5784344638669373,0.3286908077994429,0.4390243902439025,0.6297272322803654
9,0.6905728828954172,2018,0.3764044943820224,0.3936731107205595,2,0.1397692434069888,0.3674562665457961,0.4512534818941504,0.3170731707317074,0.3389819735690573
10,0.4470827153331425,2018,0.348314606741573,0.5483304042179249,2,0.0101399162404872,0.6326685454151311,0.1142061281337047,0.1260162601626016,0.5867023903233218
11,0.8815408483906617,2018,0.3258426966292135,0.7135325131810184,2,0.0050190375630382,0.6743754475165704,0.0445682451253481,0.1219512195121951,0.7092571858819847
12,0.7972976875198524,2018,0.3061797752808988,0.6889279437609837,2,0.0908835869593413,0.947184833376032,0.3147632311977716,0.3699186991869919,0.9022162682794462
13,0.5149960754253371,2018,0.2668539325842696,0.611599297012301,2,0.1576769465343757,0.6987137798973914,0.3008356545961003,0.5162601626016261,0.584094009279676
14,0.4428495299698371,2018,0.3258426966292135,0.3057996485061487,3,0.3350025027934249,0.4529951586097261,0.5403899721448469,0.8089430894308944,0.4237286892579681
15,0.1564684603329194,2018,0.3342696629213483,0.1054481546572922,3,0.6304378111077911,0.1096505921999093,0.7019498607242339,0.6219512195121951,0.331159275031413
