,week_of_year,O3,month,tavg,pres
0,1,0.6593164923998666,1,0.3792134831460674,0.2179261862917378
1,1,0.5033285711403418,1,0.3623595505617977,0.3585237258347966
2,1,0.6746531877709957,1,0.4325842696629213,0.0843585237258324
3,1,0.5582958714957289,1,0.4157303370786516,0.1423550087873444
4,1,0.5775476851802923,1,0.3651685393258427,0.170474516695954
5,1,0.2688374836790007,1,0.3174157303370786,0.3936731107205595
6,1,0.3332808115007441,1,0.2191011235955056,0.7065026362038651
7,2,0.2269519626992507,1,0.2162921348314606,0.6836555360281196
8,2,0.0491104755115354,1,0.2640449438202247,0.4534270650263607
9,2,0.1397692434069888,1,0.3764044943820224,0.3936731107205595
10,2,0.0101399162404872,1,0.348314606741573,0.5483304042179249
11,2,0.0050190375630382,1,0.3258426966292135,0.7135325131810184
12,2,0.0908835869593413,1,0.3061797752808988,0.6889279437609837
13,2,0.1576769465343757,1,0.2668539325842696,0.611599297012301
14,3,0.3350025027934249,1,0.3258426966292135,0.3057996485061487
15,3,0.6304378111077911,1,0.3342696629213483,0.1054481546572922
16,3,0.6602493954384788,1,0.3117977528089887,0.2284710017574696
17,3,0.5841856121563702,1,0.3202247191011236,0.1985940246045672
18,3,0.6028753781812137,1,0.2893258426966292,0.3602811950790858
19,3,0.3697860471908665,1,0.247191011235955,0.3181019332161696
20,3,0.480597826556896,1,0.2696629213483146,0.4674868189806673
21,4,0.4255094697824924,1,0.3567415730337078,0.4077328646748661
22,4,0.3918519422349513,1,0.4073033707865168,0.5711775043936704
23,4,0.5060869281165062,1,0.5168539325842697,0.4516695957820715
24,4,0.4608982962750171,1,0.4044943820224719,0.4411247803163434
25,4,0.1370003180132912,1,0.3342696629213483,0.5676625659050956
26,4,0.4561790174638296,1,0.348314606741573,0.7398945518453424
27,4,0.498984951534198,1,0.4550561797752809,0.7398945518453424
28,5,0.5897052084043899,1,0.4382022471910112,0.6906854130052729
29,5,0.2879528687008629,1,0.3174157303370786,0.727592267135325
30,5,0.5916392288129649,1,0.3707865168539325,0.3391915641476259
31,5,0.5169829665932322,2,0.2808988764044943,0.2302284710017552
32,5,0.4183690625909724,2,0.3146067415730337,0.3040421792618595
33,5,0.3229372130314353,2,0.2443820224719101,0.3796133567662565
34,5,0.429048928890883,2,0.2303370786516853,0.6151142355008794
35,6,0.3244302421993069,2,0.2191011235955056,0.7205623901581681
36,6,0.2595824322156111,2,0.1264044943820224,0.5553602811950782
37,6,0.2423203633229794,2,0.1207865168539325,0.5729349736379596
38,6,0.1361356293060296,2,0.2106741573033707,0.5992970123022836
39,6,0.2864473495849974,2,0.2022471910112359,0.4727592267135314
40,6,0.3525845065077433,2,0.2640449438202247,0.4797891036906847
41,6,0.6466526458994059,2,0.3117977528089887,0.2583479789103684
42,7,0.5731243220600343,2,0.2724719101123595,0.45518453427065
43,7,0.4447737734150496,2,0.2415730337078651,0.4499121265377859
44,7,0.4148180742998183,2,0.2331460674157303,0.4833040421792596
45,7,0.4515250706883018,2,0.3033707865168539,0.4393673110720542
46,7,0.4294735871226715,2,0.2808988764044943,0.669595782073813
47,7,0.1428811619879001,2,0.2134831460674157,0.6783831282952555
48,7,0.1895868421280181,2,0.2022471910112359,0.6942003514938442
49,8,0.0990914043217141,2,0.2219101123595505,0.5975395430579944
50,8,0.1103592589425625,2,0.2050561797752808,0.6028119507908585
51,8,0.2985731675564954,2,0.1938202247191011,0.71001757469244
52,8,0.3715913250585826,2,0.1910112359550561,0.6994727592267154
53,8,0.3524240587142848,2,0.1713483146067415,0.669595782073813
54,8,0.4685286937339852,2,0.1741573033707865,0.7117750439367292
55,8,0.5436124964811972,2,0.1264044943820224,0.7908611599296975
56,9,0.4817113534588028,2,0.0926966292134831,0.7978910369068544
57,9,0.4838240762002119,2,0.0898876404494381,0.6801405975395411
58,9,0.4072520481112797,2,0.0,0.6274165202108932
59,9,0.4941811253827449,3,0.0505617977528089,0.4165202108963086
60,9,0.4714109894248571,3,0.0786516853932584,0.2495606326889259
61,9,0.3436589975183434,3,0.1376404494382022,0.2108963093145845
62,9,0.2982330566649725,3,0.3174157303370786,0.1581722319859402
63,10,0.4019755254665236,3,0.3679775280898876,0.1265377855887486
64,10,0.2528532325426556,3,0.3455056179775281,0.0949033391915641
65,10,0.2632573592214727,3,0.3455056179775281,0.1476274165202085
66,10,0.5125874656646525,3,0.3202247191011236,0.2249560632688911
67,10,0.4247898566250047,3,0.3651685393258427,0.3339191564147619
68,10,0.346203103848153,3,0.5028089887640449,0.2355008787346193
69,10,0.3060287057435506,3,0.4719101123595505,0.1458699472759193
70,11,0.4510504526645382,3,0.4747191011235955,0.1019332161687138
71,11,0.3808867286616444,3,0.3455056179775281,0.286467486818978
72,11,0.3713713098208461,3,0.348314606741573,0.4270650263620368
73,11,0.3650658076144488,3,0.3876404494382022,0.2108963093145845
74,11,0.2028492453669498,3,0.297752808988764,0.2952548330404205
75,11,0.5740850872903249,3,0.148876404494382,0.3989455184534236
76,11,0.6209339214497563,3,0.1573033707865168,0.4481546572934967
77,12,0.5960952579510528,3,0.1797752808988764,0.5166959578207369
78,12,0.5671714206931536,3,0.2893258426966292,0.6520210896309315
79,12,0.4421835503541861,3,0.2808988764044943,0.7557117750439346
80,12,0.4437169316617299,3,0.3623595505617977,0.54481546572935
81,12,0.5573975560054072,3,0.3595505617977528,0.3602811950790858
82,12,0.4426197377687381,3,0.3735955056179775,0.2987697715289954
83,12,0.2571363239392912,3,0.3342696629213483,0.4007029876977128
84,13,0.3108507864343792,3,0.3146067415730337,0.5307557117750434
85,13,0.325326636159168,3,0.3370786516853932,0.4481546572934967
86,13,0.4283168257854016,3,0.3539325842696629,0.2847100175746888
87,13,0.5081400834136373,3,0.3651685393258427,0.3304042179261834
88,13,0.6140125687307427,3,0.4382022471910112,0.2636203866432325
