,NO2,PM2.5,PM10,O3
2014-04-30,23.2579,37.3348,39.7789,60.1788
2014-05-01,16.4483,34.0478,40.8003,67.5168
2014-05-02,12.1025,3.9258,10.4999,67.8325
2014-05-03,13.0462,3.4402,14.3306,70.93
2014-05-04,23.6283,8.9051,18.365,62.1473
2014-05-05,26.4817,16.7588,23.1641,68.2058
2014-05-06,16.8596,14.5738,22.9193,65.3796
2014-05-07,9.1217,5.9441,19.486,70.4787
2014-05-08,10.9483,4.4418,14.4307,55.1254
2014-05-09,8.3796,3.7573,24.7555,73.4755
2014-05-10,9.6904,6.9853,19.1759,61.725
2014-05-11,4.7404,3.5087,21.0587,79.46
2014-05-12,8.2033,2.9532,14.101,65.5976
2014-05-13,19.3871,3.3012,16.0729,61.0014
2014-05-14,18.1233,,17.7885,62.4596
2014-05-15,31.4575,,19.3056,50.0027
2014-05-16,32.0473,3.2506,16.5582,50.4585
2014-05-17,26.7821,8.4482,20.8656,50.5412
2014-05-18,20.0746,12.8752,23.7037,62.8362
2014-05-19,25.0008,8.4146,20.6295,70.5242
2014-05-20,19.3492,6.5332,18.3527,76.2308
2014-05-21,17.9371,6.6898,16.657,63.995
2014-05-22,11.4288,1.5825,12.6102,76.5535
2014-05-23,18.3775,5.151,17.0368,56.8788
2014-05-24,13.1779,6.7311,16.424,58.9754
2014-05-25,12.4146,4.7404,14.8804,59.9333
2014-05-26,20.6492,9.0993,16.9058,58.2654
2014-05-27,27.9817,12.6053,21.0228,47.3358
2014-05-28,21.05,9.756,13.6094,35.855
2014-05-29,14.2483,1.3696,10.3382,15.5625
2014-05-30,10.2167,6.1797,9.5243,46.7208
2014-05-31,16.3871,6.626,20.2352,59.4717
2014-06-01,18.6288,13.3362,21.226,62.5621
2014-06-02,17.7388,11.9333,22.0958,59.9375
2014-06-03,22.1533,12.7128,17.938,44.0096
2014-06-04,12.4546,9.2118,19.2988,42.0361
2014-06-05,8.0417,2.9132,16.8898,60.3329
2014-06-06,15.6062,5.383,17.6993,68.3391
2014-06-07,18.435,11.4261,22.839,64.6879
2014-06-08,12.0379,6.9931,15.0511,66.2227
2014-06-09,11.3971,12.0408,21.1909,64.1409
2014-06-10,12.1804,6.0634,16.9165,57.2135
2014-06-11,12.1555,2.8788,17.5067,41.9606
2014-06-12,27.175,4.5798,20.1311,52.495
2014-06-13,24.2913,7.309,19.4324,50.533
2014-06-14,8.1508,0.5345,18.7117,61.9965
2014-06-15,6.4792,2.6366,18.6103,64.3274
2014-06-16,13.9914,1.628,15.7637,43.7689
2014-06-17,12.6788,5.2537,28.7702,56.3504
2014-06-18,14.275,1.1307,11.2277,32.2618
2014-06-19,14.0721,3.5817,15.9844,37.1922
2014-06-20,9.6783,1.7449,16.7295,38.2717
2014-06-21,11.3033,5.1886,15.0872,46.4613
2014-06-22,13.295,0.884,11.6014,36.7778
2014-06-23,18.6071,0.992,11.3611,31.9435
2014-06-24,20.5104,0.78,14.9253,38.535
2014-06-25,15.3996,0.7974,13.6547,51.8595
2014-06-26,21.1571,6.0305,18.2942,51.8939
2014-06-27,17.1196,14.662,19.1584,45.7161
2014-06-28,8.8067,6.9369,15.7895,42.6659
2014-06-29,8.1929,4.9928,12.4231,59.7265
2014-06-30,11.6921,0.6089,13.4321,50.7422
2014-07-01,20.5709,2.7227,14.216,39.206
2014-07-02,25.7721,4.8647,20.2705,36.403
2014-07-03,18.8613,9.8418,25.4717,68.9574
2014-07-04,21.8767,8.9492,20.1954,71.4845
2014-07-05,8.1096,3.4795,13.1117,38.0182
2014-07-06,6.1396,0.3177,12.1997,36.6
2014-07-07,12.5483,5.9265,17.6879,43.4139
2014-07-08,23.3462,5.6338,12.158,43.8432
2014-07-09,12.4536,4.2416,15.5723,62.0985
2014-07-10,28.7938,15.2794,39.1001,62.0262
2014-07-11,7.15,23.2991,20.2596,75.2854
2014-07-12,4.4508,22.0984,20.7604,78.85
2014-07-13,6.6767,12.5576,17.6185,36.53
2014-07-14,6.7604,4.7491,16.8098,50.1071
2014-07-15,12.23,4.9582,14.0196,39.035
2014-07-16,16.8354,6.6207,16.4513,41.3821
2014-07-17,14.295,13.7912,20.965,65.8079
2014-07-18,15.6892,11.806,26.0133,104.3246
2014-07-19,12.3787,11.4706,24.4345,95.3592
2014-07-20,17.0404,7.7131,20.1839,67.4667
2014-07-21,15.8583,8.9722,20.0926,83.6212
2014-07-22,14.0562,4.7989,22.03,72.1425
2014-07-23,12.0792,4.9446,20.1633,72.7692
2014-07-24,11.2017,4.1431,20.5367,68.9625
2014-07-25,11.7158,5.2721,15.2033,64.7121
2014-07-26,13.3533,12.5242,20.59,60.5479
2014-07-27,9.2337,10.441,25.87,79.0571
2014-07-28,13.7012,6.0275,16.75,64.8575
2014-07-29,13.74,2.9884,17.07,57.44
2014-07-30,16.7283,0.3562,12.0033,42.4833
2014-07-31,11.44,6.5572,25.4433,64.9096
2014-08-01,16.6767,9.0296,25.4967,58.0946
2014-08-02,13.385,8.3586,24.2167,63.6721
2014-08-03,5.1912,1.9974,11.15,61.5329
2014-08-04,9.6192,-0.4263,13.0167,50.1571
2014-08-05,17.3762,2.7455,15.6833,47.5421
2014-08-06,19.7908,5.7811,14.2967,39.7942
2014-08-07,19.0162,7.9816,18.9367,36.565
2014-08-08,16.6992,6.3676,15.2567,41.11
2014-08-09,6.0762,0.1129,14.2967,60.3467
2014-08-10,8.9212,0.8494,15.7367,45.44
2014-08-11,5.0483,-1.4583,13.6567,55.135
2014-08-12,5.5596,-0.4536,13.0167,68.2208
2014-08-13,8.6542,0.1797,13.1233,57.9075
2014-08-14,9.7738,-0.0673,11.8433,48.2012
2014-08-15,14.2262,1.0898,10.0986,48.3783
2014-08-16,6.7596,-0.2255,,61.5712
2014-08-17,5.0513,-1.3586,,61.0721
2014-08-18,4.6333,,,54.535
2014-08-19,6.0558,-0.6335,12.75,53.5229
2014-08-20,11.3929,-0.8195,7.8967,52.2008
2014-08-21,12.3258,2.6483,10.51,51.7763
2014-08-22,12.7929,0.4151,9.9233,50.7996
2014-08-23,7.2446,1.03,6.6167,59.0283
2014-08-24,5.4721,-0.264,8.75,60.7112
2014-08-25,23.2188,6.1121,14.35,29.4308
2014-08-26,18.0654,4.6193,8.8567,29.5754
2014-08-27,19.4025,3.712,11.0967,54.0717
2014-08-28,14.3333,5.0446,14.9367,32.9421
2014-08-29,9.4704,1.2423,17.8167,52.7446
2014-08-30,7.1304,-0.1285,15.0433,52.4754
2014-08-31,10.5725,,12.0567,43.3675
2014-09-01,14.25,1.754,10.7767,48.8487
2014-09-02,19.3304,3.5492,12.3767,43.6254
2014-09-03,16.2079,7.1044,14.0833,44.2371
2014-09-04,27.6254,12.788,31.31,37.3354
2014-09-05,35.9517,23.4948,43.5233,23.8533
2014-09-06,26.5975,30.3816,28.3767,39.6767
2014-09-07,8.5825,12.4963,24.2167,64.3846
2014-09-08,27.6333,5.6388,12.5367,39.4425
2014-09-09,22.0487,3.8847,15.6833,32.0983
