,NO2,PM2.5,PM10,O3
2015-06-18,12.7321,7.4536,13.6567,47.3862
2015-06-19,13.1542,7.3426,13.71,45.4226
2015-06-20,8.6554,6.5793,6.7233,46.1904
2015-06-21,7.2275,13.8325,16.8567,38.2804
2015-06-22,11.5669,6.1295,10.4362,39.6546
2015-06-23,13.7136,5.7273,22.03,49.841
2015-06-24,8.1779,10.2905,13.902,65.8838
2015-06-25,15.5662,11.931,13.9767,59.9333
2015-06-26,19.6338,13.9006,16.1633,59.4121
2015-06-27,14.0596,9.085,15.0433,42.8574
2015-06-28,11.8308,13.4435,17.0167,53.7621
2015-06-29,15.6921,9.8137,11.2033,37.9946
2015-06-30,20.7908,8.887,17.1233,49.8571
2015-07-01,17.2614,9.5372,25.2009,146.0664
2015-07-02,20.9217,15.5641,29.1233,83.8321
2015-07-03,22.9946,13.7,20.59,72.5225
2015-07-04,8.4892,14.6373,25.6567,90.2362
2015-07-05,9.0738,5.2362,13.07,35.25
2015-07-06,11.0254,8.8707,19.15,58.89
2015-07-07,18.0292,8.73,17.55,44.3896
2015-07-08,6.5708,3.3009,15.2033,47.865
2015-07-09,11.1987,5.7696,13.87,41.6139
2015-07-10,14.7396,11.8335,14.9367,68.2388
2015-07-11,14.0246,15.294,19.0433,77.0075
2015-07-12,6.0633,7.7513,16.4833,45.88
2015-07-13,7.7088,2.8304,13.71,43.0352
2015-07-14,8.9008,4.1427,15.31,27.2675
2015-07-15,14.0554,9.474,17.6033,24.9538
2015-07-16,17.7392,6.3588,16.59,55.4683
2015-07-17,8.3929,6.3186,20.6433,57.9513
2015-07-18,5.2225,4.8994,13.71,56.6696
2015-07-19,6.9762,6.3339,15.2567,57.4217
2015-07-20,12.4988,3.1862,15.63,30.5308
2015-07-21,6.5662,1.2886,13.1767,51.7061
2015-07-22,7.0612,1.1281,14.7233,53.2042
2015-07-23,7.0138,3.0647,9.71,55.0971
2015-07-24,19.1896,11.3864,19.2033,58.2804
2015-07-25,5.4383,4.1826,13.1233,60.6448
2015-07-26,6.5383,4.4871,13.87,50.7883
2015-07-27,4.675,1.7458,14.7233,54.3821
2015-07-28,4.6458,,16.398,61.4871
2015-07-29,5.2033,,8.6967,54.977
2015-07-30,11.7879,,13.87,37.2688
2015-07-31,13.7808,,12.0033,50.7692
2015-08-01,13.5117,,17.3367,63.7883
2015-08-02,12.4417,,18.51,91.3022
2015-08-03,18.5525,,27.31,68.6825
2015-08-04,13.4404,,19.4167,46.2333
2015-08-05,15.2133,,21.55,67.1617
2015-08-06,17.0013,,27.4167,51.1322
2015-08-07,20.5938,,19.0433,45.7433
2015-08-08,10.1554,,16.0033,60.8854
2015-08-09,18.9729,,17.1233,55.7242
2015-08-10,14.47,,20.9633,40.1987
2015-08-11,27.3254,,11.8433,20.8067
2015-08-12,12.2175,,16.91,47.7117
2015-08-13,10.9033,,20.3767,73.7017
2015-08-14,10.8583,,15.7367,63.9778
2015-08-15,11.2935,,10.67,46.855
2015-08-16,8.3587,,10.5633,51.2421
2015-08-17,15.2638,,6.03,46.3396
2015-08-18,8.7713,,9.9767,57.6961
2015-08-19,18.1313,,20.3767,54.0054
2015-08-20,17.6052,,17.8167,51.0312
2015-08-21,18.3335,,16.4833,50.2188
2015-08-22,15.1313,,25.39,88.293
2015-08-23,10.0257,,26.9367,82.7454
2015-08-24,11.57,,10.2178,47.0304
2015-08-25,7.9047,,8.3233,54.3729
2015-08-26,9.4048,,9.07,50.2783
2015-08-27,13.5164,,10.1367,44.6871
2015-08-28,11.2691,,11.79,47.2488
2015-08-29,17.5904,,12.11,52.8721
2015-08-30,9.7877,,23.4167,64.2783
2015-08-31,,,13.4433,58.2658
2015-09-01,,,8.91,58.9842
2015-09-02,20.0662,,8.3767,51.8054
2015-09-03,10.1883,,5.7633,51.0243
2015-09-04,6.0021,,8.43,53.3712
2015-09-05,8.757,,12.3767,55.6392
2015-09-06,8.1538,,11.15,55.4067
2015-09-07,14.6738,,7.4555,47.6104
2015-09-08,22.9333,,6.6167,36.7433
2015-09-09,18.1562,,10.19,38.0388
2015-09-10,18.2171,,11.342,35.1592
2015-09-11,22.5454,,17.6033,35.33
2015-09-12,19.9583,,17.6567,36.4713
2015-09-13,10.7288,,14.83,47.5783
2015-09-14,12.0788,,10.0509,43.2608
2015-09-15,11.9396,,7.31,49.1217
2015-09-16,14.1892,,5.8167,37.0658
2015-09-17,12.7612,,9.7633,50.8771
2015-09-18,14.8933,,10.2433,40.0621
2015-09-19,18.4348,,11.47,37.6213
2015-09-20,9.81,,9.8167,54.2125
2015-09-21,17.9175,,12.0543,54.7921
2015-09-22,21.6125,,8.8567,34.2454
2015-09-23,14.8896,,8.27,41.3296
2015-09-24,16.8887,,10.4033,36.2192
2015-09-25,22.3496,,12.6433,26.8079
2015-09-26,21.9858,,7.15,29.6175
2015-09-27,13.577,7.7602,7.5233,38.5161
2015-09-28,23.5427,8.0497,8.3767,27.9917
2015-09-29,,10.0382,11.2033,33.5475
2015-09-30,16.7729,9.0058,16.3767,37.9271
2015-10-01,21.7471,12.9563,17.3367,33.817
2015-10-02,29.8592,18.6017,24.43,21.6633
2015-10-03,38.4183,34.9813,45.71,12.1121
2015-10-04,25.8858,49.3373,40.27,26.6329
2015-10-05,25.3883,16.2508,18.7883,16.587
2015-10-06,23.3017,10.9706,19.4167,13.8017
2015-10-07,14.78,4.5683,10.51,32.7921
2015-10-08,12.5488,9.2963,14.51,42.0562
2015-10-09,30.7438,10.7363,20.3233,15.26
2015-10-10,17.4192,21.3711,22.03,23.975
2015-10-11,11.77,18.2793,24.2167,34.2988
2015-10-12,30.7788,20.601,27.95,14.9658
2015-10-13,27.46,26.2669,29.4433,20.2161
2015-10-14,27.8783,16.8489,13.2833,13.2662
2015-10-15,32.6154,25.5522,19.7367,3.2562
2015-10-16,29.8658,25.5405,21.9767,7.7962
2015-10-17,26.9754,21.8488,24.11,6.6957
2015-10-18,24.4604,19.6486,19.0433,4.3013
2015-10-19,32.1212,27.4431,23.95,7.4879
2015-10-20,40.5365,9.8042,13.8167,18.2525
2015-10-21,26.2125,18.6445,13.4433,20.447
2015-10-22,16.0658,9.0532,9.9233,29.6683
2015-10-23,25.4371,13.252,20.3233,26.97
2015-10-24,18.8138,15.789,16.75,30.1508
2015-10-25,20.3271,11.6718,14.7233,35.8659
2015-10-26,28.7067,16.8917,20.5367,11.705
2015-10-27,34.1504,24.2144,29.9767,5.6408
2015-10-28,32.3833,25.325,21.4433,3.7596
2015-10-29,27.6546,19.3456,19.2033,19.4191
2015-10-30,27.9875,20.055,20.3767,10.1162
2015-10-31,25.8658,31.6496,31.6833,5.5612
2015-11-01,25.6175,37.4163,30.4033,5.0379
2015-11-02,32.9574,34.163,26.67,3.637
2015-11-03,36.0417,25.822,24.27,3.5975
2015-11-04,25.7458,14.7823,13.6567,19.5496
2015-11-05,27.0775,16.6386,16.5367,15.8996
2015-11-06,14.2138,8.9039,8.3767,30.8343
2015-11-07,8.7025,7.4196,9.71,38.5721
2015-11-08,12.9341,11.222,13.7633,33.1479
2015-11-09,8.615,8.3838,16.8033,55.5612
2015-11-10,9.7475,9.7609,13.87,50.13
2015-11-11,15.0375,12.255,14.83,42.04
2015-11-12,23.68,10.3113,14.4567,29.9454
2015-11-13,10.0225,12.2096,15.8433,52.6129
2015-11-14,6.9204,8.6405,11.5767,60.37
2015-11-15,4.245,7.2043,3.15,55.79
2015-11-16,,7.1274,,
2015-11-17,8.465,6.7774,33.55,59.1111
2015-11-18,8.7596,8.3573,21.4596,57.3027
2015-11-19,6.7738,8.1024,17.4433,63.6104
2015-11-20,8.8467,6.0363,11.31,58.5342
2015-11-21,9.3625,4.8841,7.2033,57.7762
2015-11-22,15.96,3.6441,6.0439,53.92
2015-11-23,42.2438,9.6715,11.8967,23.1104
2015-11-24,27.0383,14.4267,12.4833,28.3058
2015-11-25,24.39,8.2618,9.2833,41.4383
2015-11-26,41.3971,,9.0167,22.7917
2015-11-27,39.955,13.5836,17.2833,12.9142
2015-11-28,9.6796,4.923,10.5633,57.2912
2015-11-29,4.8538,6.0459,24.27,68.0388
2015-11-30,9.9092,3.9946,18.4033,65.5257
2015-12-01,16.5471,5.406,12.2167,52.7258
2015-12-02,23.3792,8.2631,14.1367,48.6575
2015-12-03,26.3188,11.5742,15.4167,37.1946
2015-12-04,15.3458,8.4655,15.15,48.3809
2015-12-05,14.1,8.6381,12.75,47.28
2015-12-06,10.4275,10.3199,12.91,48.4396
2015-12-07,31.8558,19.2698,22.4033,13.8175
2015-12-08,24.3346,14.5969,17.39,25.2474
2015-12-09,26.1592,8.9835,19.15,36.6642
2015-12-10,20.7183,12.7798,13.0167,37.3412
2015-12-11,17.6338,9.6285,11.8967,43.7308
2015-12-12,17.1483,9.0627,13.39,42.7643
2015-12-13,15.5542,8.0553,10.1367,44.7079
2015-12-14,31.7017,21.7435,23.79,13.8267
2015-12-15,38.3246,26.9123,28.59,1.8104
2015-12-16,16.2508,9.6515,13.1233,39.7104
2015-12-17,25.2958,12.0654,25.55,24.0337
2015-12-18,24.1321,12.162,24.43,32.9658
2015-12-19,19.9871,15.1323,22.4567,25.9163
2015-12-20,13.7479,11.2514,22.99,31.8396
2015-12-21,8.7467,4.0425,8.1481,60.63
2015-12-22,10.4888,4.5595,8.1633,51.7488
2015-12-23,15.3117,6.6401,18.7233,51.3292
2015-12-24,13.7,9.3726,12.6967,43.1178
2015-12-25,9.8542,8.0484,14.0833,53.0658
2015-12-26,9.2904,7.8565,12.8567,45.4712
2015-12-27,13.3167,18.7034,37.55,38.5021
2015-12-28,26.4996,17.8069,23.8433,15.6386
2015-12-29,23.6596,14.9121,14.9367,22.6883
2015-12-30,14.5474,12.551,13.23,38.58
2015-12-31,14.3804,17.232,21.0167,43.425
2016-01-01,17.7938,42.796,19.7367,26.0791
2016-01-02,12.5446,12.8829,12.6967,32.4396
2016-01-03,8.3233,5.0652,8.8567,54.2308
2016-01-04,23.0713,8.1669,13.1767,35.4358
2016-01-05,19.3179,7.5707,15.15,34.2952
2016-01-06,29.715,57.1106,29.8167,10.1471
2016-01-07,16.1917,14.6472,7.5767,38.1279
2016-01-08,27.7917,8.1921,20.11,37.4642
2016-01-09,19.1017,9.993,13.3367,35.857
2016-01-10,8.1543,4.5965,7.31,62.3667
2016-01-11,17.9275,7.4263,7.6833,44.4588
2016-01-12,9.8329,6.0543,7.3633,51.6817
2016-01-13,18.1946,4.2628,12.3767,46.4191
2016-01-14,18.1642,8.3611,8.6433,44.4575
2016-01-15,38.6092,15.2946,11.0433,29.9196
2016-01-16,12.1854,8.5402,8.8567,62.5688
2016-01-17,22.7875,11.6602,14.1367,41.4439
2016-01-18,39.6842,23.4687,21.9233,18.0321
2016-01-19,54.5908,28.9067,30.2967,3.8921
2016-01-20,50.1774,24.129,34.51,3.8779
2016-01-21,52.4771,35.4331,47.95,3.4187
2016-01-22,35.5838,30.2,29.1233,15.5346
2016-01-23,22.8312,17.1717,25.8167,34.4263
2016-01-24,15.8862,17.2561,16.27,30.3783
2016-01-25,28.6796,16.8962,14.2433,15.4357
2016-01-26,17.7079,11.6161,17.7633,46.4529
2016-01-27,12.1117,6.3212,9.4433,54.3308
2016-01-28,15.62,8.4347,16.8033,55.1392
2016-01-29,14.9275,9.7717,11.5233,52.6678
2016-01-30,5.7242,6.9027,9.87,68.8746
2016-01-31,10.3522,7.833,11.2033,57.3362
2016-02-01,6.9529,8.244,18.1367,68.5988
2016-02-02,7.7675,8.0708,23.15,70.1424
2016-02-03,10.4025,5.9572,14.35,61.5433
2016-02-04,21.3546,8.7722,11.6833,43.9725
2016-02-05,22.1525,13.5448,11.5233,37.9717
2016-02-06,10.3962,9.1607,8.2167,53.8987
2016-02-07,6.3287,6.5395,7.6833,67.335
2016-02-08,5.1188,8.2443,18.03,74.8071
2016-02-09,12.9042,8.4224,13.6567,65.3687
2016-02-10,11.5329,6.3241,8.59,59.7861
2016-02-11,28.2992,9.7166,12.0033,37.0554
2016-02-12,33.5621,19.5234,15.8967,22.9933
2016-02-13,34.9275,23.6637,25.1767,17.4217
2016-02-14,13.1286,21.1853,23.3557,36.1646
2016-02-15,,7.4286,,
2016-02-16,41.0122,14.8148,27.086,16.1938
2016-02-17,43.315,26.5964,30.19,10.445
2016-02-18,32.7421,29.1798,32.43,21.513
2016-02-19,33.3654,20.5315,13.4433,32.125
2016-02-20,8.1604,8.7164,10.4567,62.0992
2016-02-21,4.7912,4.9658,12.27,68.6942
2016-02-22,14.4854,6.3627,12.0033,60.8491
2016-02-23,20.2171,5.3015,10.9367,49.3529
2016-02-24,31.6341,8.4157,10.7187,42.6238
2016-02-25,24.0067,5.9004,8.5367,51.6667
2016-02-26,31.1462,19.135,21.1233,31.9574
2016-02-27,24.1058,19.4128,22.6167,37.8471
2016-02-28,11.6725,17.1457,13.557,54.52
2016-02-29,29.255,13.9121,,42.5635
2016-03-01,36.3341,28.9772,24.4648,22.9887
2016-03-02,8.2417,8.9597,8.8033,71.2604
2016-03-03,25.2379,9.4458,12.8033,50.635
2016-03-04,25.1663,16.3264,12.0567,44.0446
2016-03-05,24.4058,19.9313,13.8167,35.3122
2016-03-06,16.57,22.6082,6.51,45.2792
2016-03-07,33.7492,6.6452,5.1233,47.735
2016-03-08,24.8354,9.4083,9.2833,45.3313
2016-03-09,17.1846,16.8208,13.4967,52.9326
2016-03-10,29.7708,29.7775,36.0567,35.8946
2016-03-11,26.9258,45.1751,50.1367,25.9217
2016-03-12,22.8196,33.5485,41.7633,29.9958
2016-03-13,11.1996,21.0738,21.07,50.7339
2016-03-14,17.1525,22.407,23.8433,46.6496
2016-03-15,27.8167,22.287,22.4033,28.2508
2016-03-16,16.2371,,22.7233,38.3083
2016-03-17,28.8483,,32.91,35.9961
2016-03-18,19.9154,7.0895,13.8167,51.57
2016-03-19,10.6329,7.0305,19.2567,68.2362
2016-03-20,11.937,6.9312,13.1767,64.7029
2016-03-21,25.7029,11.6212,20.3767,50.7822
2016-03-22,30.45,12.2761,18.7767,33.7875
2016-03-23,25.7958,6.9368,6.5633,45.245
2016-03-24,22.9258,28.559,37.71,32.4229
2016-03-25,16.7838,8.4629,17.7633,56.5013
2016-03-26,15.9965,11.7276,12.5367,49.2967
2016-03-27,6.2871,4.223,6.2967,74.4279
2016-03-28,3.8129,3.2892,9.4433,70.3525
2016-03-29,9.3233,4.4459,10.67,70.2348
2016-03-30,14.9608,5.1265,10.99,60.6017
2016-03-31,29.1117,12.1516,17.1233,37.6629
2016-04-01,27.9104,14.0125,16.8567,46.3533
2016-04-02,25.8246,21.1623,21.2833,35.4613
2016-04-03,16.0471,13.6557,14.4567,50.5871
2016-04-04,18.6446,7.7616,13.1233,46.3879
2016-04-05,23.9587,11.1271,13.4967,43.7375
2016-04-06,11.4838,9.1754,12.43,64.5109
2016-04-07,10.7079,5.9421,12.91,55.1071
2016-04-08,22.2742,11.852,9.7633,40.6521
2016-04-09,20.0871,18.0797,14.8833,48.4554
2016-04-10,11.6471,12.0824,12.6433,69.3291
2016-04-11,19.44,15.817,23.8129,50.0953
2016-04-12,,5.3095,7.63,64.6158
2016-04-13,30.9075,10.8793,19.4167,38.3333
2016-04-14,30.0192,25.0365,23.3633,46.3739
2016-04-15,11.6892,7.1442,9.6567,66.1192
2016-04-16,,4.6642,6.5633,72.9375
2016-04-17,11.1941,4.5046,8.9633,64.3971
2016-04-18,15.8223,8.1235,11.7367,60.5235
2016-04-19,17.3429,8.3174,18.7767,55.9225
2016-04-20,21.3783,9.1381,21.1233,48.5783
2016-04-21,17.0479,10.0429,20.59,54.4742
2016-04-22,12.9758,7.5694,12.5367,59.2639
2016-04-23,8.8971,3.3568,8.6433,66.9571
2016-04-24,7.9879,3.6666,7.63,65.6296
2016-04-25,15.7586,4.6439,10.2433,59.6588
2016-04-26,8.8427,3.6633,10.4033,76.1161
2016-04-27,,3.238,6.6167,77.6
2016-04-28,15.3086,6.4575,8.5367,62.1446
2016-04-29,11.585,5.8172,8.8567,64.6162
2016-04-30,14.7021,6.0662,13.6033,67.4259
2016-05-01,24.6942,7.7377,13.39,57.5192
2016-05-02,22.8004,11.0168,10.4567,43.9471
2016-05-03,17.4132,6.8632,14.03,59.6152
2016-05-04,18.8717,11.0064,14.67,
2016-05-05,16.1346,11.8825,14.7767,
2016-05-06,23.2886,14.7489,17.7633,60.6667
2016-05-07,30.3722,10.9917,21.9767,73.7808
2016-05-08,,6.7409,18.51,91.0704
2016-05-09,15.4113,5.4335,19.2567,86.1162
2016-05-10,24.5927,8.5906,19.8967,52.6162
2016-05-11,16.6132,9.0326,18.0833,67.9433
2016-05-12,11.9613,10.615,26.0833,98.327
2016-05-13,14.4721,7.7697,24.91,74.5021
2016-05-14,,4.7256,15.47,83.51
2016-05-15,10.2082,6.3495,15.0433,72.5088
2016-05-16,19.1036,5.044,7.4167,56.4587
2016-05-17,15.9442,14.3175,16.3233,65.9496
2016-05-18,21.1364,11.451,21.0167,62.4346
2016-05-19,14.0774,13.0597,12.9633,65.5046
2016-05-20,15.4118,7.4971,9.2833,52.347
2016-05-21,15.4204,8.5966,11.47,46.5392
2016-05-22,18.805,6.5576,11.5233,47.7142
2016-05-23,17.1386,3.8499,10.35,62.3758
2016-05-24,9.0073,8.0474,19.79,64.3796
2016-05-25,17.2568,7.0934,10.03,48.3
2016-05-26,26.3582,20.3891,17.39,46.6121
2016-05-27,14.0559,23.0383,26.2967,57.3333
2016-05-28,13.545,24.4587,27.5233,64.9343
2016-05-29,12.6625,18.8774,30.6167,57.4746
2016-05-30,17.1462,15.529,22.67,54.8104
2016-05-31,16.9596,8.2574,17.6567,35.2467
2016-06-01,25.8288,22.3195,30.7767,49.9591
2016-06-02,15.1287,14.196,26.7233,54.8129
2016-06-03,32.647,17.6598,23.0433,42.7067
2016-06-04,33.7955,22.4351,36.8567,43.7388
2016-06-05,11.3775,9.8433,24.1633,60.2313
2016-06-06,14.0077,11.339,19.0967,54.8554
2016-06-07,11.4977,10.0657,18.7767,58.47
2016-06-08,17.965,10.9735,17.4967,56.3262
2016-06-09,16.3165,10.1739,23.0967,69.9374
2016-06-10,23.3407,8.8942,18.99,58.0354
2016-06-11,14.8379,12.1081,19.3633,53.245
2016-06-12,13.93,14.0232,25.9233,49.7738
2016-06-13,8.405,10.0181,12.8033,46.3457
2016-06-14,9.5405,9.196,19.4852,37.9157
2016-06-15,9.8379,6.7141,11.8433,38.8158
2016-06-16,16.9838,7.2749,12.4833,37.4738
2016-06-17,20.4696,8.4692,12.43,42.8562
2016-06-18,8.4958,7.6487,13.0561,51.3021
2016-06-19,6.9958,10.3955,20.75,64.585
2016-06-20,11.594,8.8339,9.9233,37.5429
2016-06-21,10.069,7.7698,12.8567,33.0343
2016-06-22,13.1056,7.6075,12.2167,38.4029
2016-06-23,21.6087,8.0048,22.4567,41.4796
2016-06-24,10.8642,9.8081,15.3633,44.9983
2016-06-25,6.3404,9.3698,12.6967,48.3322
2016-06-26,4.7942,8.2362,10.83,54.855
2016-06-27,12.6746,6.2215,3.8178,33.6933
2016-06-28,13.8914,10.7664,20.4833,45.9038
2016-06-29,7.9373,4.2122,12.6109,52.01
2016-06-30,8.0835,3.4955,11.3633,43.0767
2016-07-01,6.9054,1.5148,7.5233,43.4542
2016-07-02,4.6214,2.6798,15.2033,52.8496
2016-07-03,5.2773,4.4487,13.7796,47.2336
2016-07-04,9.4174,9.5146,9.9233,48.6133
2016-07-05,9.41,5.0696,9.6033,44.5946
2016-07-06,15.4867,3.3251,11.31,42.1942
2016-07-07,19.5668,12.5842,17.0167,55.2944
2016-07-08,11.7762,8.6128,14.03,38.1171
2016-07-09,11.8558,10.7139,18.7233,35.7821
2016-07-10,,6.125,10.51,41.9129
2016-07-11,4.5143,3.6227,13.07,47.3641
2016-07-12,6.1433,4.5218,11.47,44.2088
2016-07-13,10.2888,3.865,10.4567,40.9221
2016-07-14,10.0971,4.1396,9.4967,38.4533
2016-07-15,9.1575,4.4903,8.2167,61.4524
2016-07-16,7.3825,4.6647,10.99,39.5288
2016-07-17,11.3512,5.0425,8.9633,31.4383
2016-07-18,20.9367,5.5699,13.7633,47.1587
2016-07-19,17.2388,11.1014,26.03,108.0309
2016-07-20,14.7575,9.4961,35.0433,103.8975
2016-07-21,14.5083,14.606,23.4167,60.0983
2016-07-22,,11.2752,28.0567,65.6954
2016-07-23,13.8139,8.8521,22.0833,66.4457
2016-07-24,7.6529,11.1273,19.47,72.5046
2016-07-25,9.8592,4.6466,15.0068,37.1837
2016-07-26,18.1017,4.575,14.9544,38.6542
2016-07-27,11.0054,2.6957,15.5767,30.045
2016-07-28,10.2617,4.8491,23.15,37.5942
2016-07-29,7.9795,1.963,12.1633,37.5058
2016-07-30,7.313,0.4143,12.7222,39.4246
2016-07-31,12.19,,7.4167,36.7065
2016-08-01,8.4571,4.7467,8.3233,44.4563
2016-08-02,9.4425,,7.5233,23.5767
2016-08-03,5.3275,,6.67,26.0888
2016-08-04,5.8225,1.3873,17.39,47.7672
2016-08-05,9.225,0.9937,16.0613,45.9263
2016-08-06,14.9854,6.8184,16.27,37.795
2016-08-07,8.1162,4.8138,10.51,28.6662
2016-08-08,7.3667,3.519,19.63,49.1717
2016-08-09,9.9517,3.1535,13.7633,35.8733
2016-08-10,9.5496,2.8848,8.11,34.9558
2016-08-11,9.2445,3.1227,12.6433,32.9033
2016-08-12,7.425,1.7755,14.67,29.5961
2016-08-13,8.4583,4.8166,14.5633,42.2546
2016-08-14,12.9046,2.7982,12.3883,29.9133
2016-08-15,13.7471,2.0342,11.8433,38.6096
2016-08-16,12.6332,5.201,10.7233,46.6552
2016-08-17,14.2188,5.0984,14.99,51.77
2016-08-18,16.0392,4.2479,15.79,59.5675
2016-08-19,21.9371,12.4432,31.0433,46.2258
2016-08-20,8.05,3.8021,11.8433,46.0487
2016-08-21,4.7813,,13.9767,50.1179
2016-08-22,8.4167,2.6711,17.3367,42.9074
2016-08-23,20.82,5.3606,19.31,55.0304
2016-08-24,22.4186,13.7047,26.9367,79.8157
2016-08-25,27.0548,17.7472,32.0567,87.8754
2016-08-26,22.1974,23.2629,56.3614,59.1771
2016-08-27,9.3778,4.3722,14.5587,74.0442
2016-08-28,7.9918,12.6939,24.43,51.3557
2016-08-29,20.2674,,10.99,44.8904
2016-08-30,22.0365,7.1922,14.7233,39.0533
2016-08-31,21.4974,12.7861,31.4167,52.0021
2016-09-01,17.3709,10.7482,15.2265,34.5804
2016-09-02,14.4952,8.39,12.8567,34.4167
2016-09-03,10.5761,5.4338,10.03,38.6042
2016-09-04,4.2313,,9.07,44.9079
2016-09-05,11.9473,1.0339,9.6613,41.6348
2016-09-06,26.66,6.8252,17.6567,7.0875
2016-09-07,25.3513,8.635,17.71,50.3975
2016-09-08,20.1133,9.9694,25.7633,59.2371
2016-09-09,14.0483,5.6743,40.91,40.3661
2016-09-10,12.3596,9.5,23.79,52.3754
2016-09-11,10.3825,5.6934,14.67,34.995
2016-09-12,23.7704,11.2508,27.7367,38.9683
2016-09-13,23.3931,14.5558,41.4433,82.4622
2016-09-14,38.3958,16.8949,45.8167,68.3037
2016-09-15,25.7158,20.1509,37.7633,66.1071
2016-09-16,13.5642,6.0261,14.5633,33.1008
2016-09-17,12.6879,6.3315,11.6833,35.915
2016-09-18,13.6379,7.3083,9.6033,
2016-09-19,33.6835,4.7505,14.7767,22.63
2016-09-20,23.5561,7.3367,15.63,29.9888
2016-09-21,31.0335,9.533,27.63,22.2135
2016-09-22,34.8978,20.1009,31.63,28.3862
2016-09-23,17.0068,9.871,21.2959,37.3271
2016-09-24,18.1367,11.607,16.9633,50.185
2016-09-25,7.4825,7.1787,16.59,53.9517
2016-09-26,21.3379,2.8673,21.0167,18.3112
2016-09-27,32.6042,7.1471,15.2567,23.4527
2016-09-28,9.4567,6.0655,21.0143,40.875
2016-09-29,10.934,5.6497,15.63,35.6827
2016-09-30,16.3917,2.442,17.39,30.0487
2016-10-01,16.7288,4.4772,11.6833,28.9592
2016-10-02,9.2296,,9.1233,43.9013
2016-10-03,21.4783,,11.2033,40.5278
2016-10-04,14.2367,5.2378,9.4967,32.3304
2016-10-05,15.5482,3.7974,8.3233,35.6318
2016-10-06,16.8905,5.5758,6.4033,28.9809
2016-10-07,17.3187,4.0277,8.0567,23.0504
2016-10-08,14.6246,5.8572,9.23,27.4933
2016-10-09,18.5018,7.2712,9.9767,26.32
2016-10-10,23.3279,7.5167,7.8433,17.3821
2016-10-11,30.4179,8.6647,13.07,12.1804
2016-10-12,12.8446,6.4252,9.3367,14.1125
2016-10-13,16.1121,7.2795,9.0167,12.9117
2016-10-14,22.9859,12.4445,18.4033,11.5962
2016-10-15,19.677,16.2301,16.9633,22.2057
2016-10-16,12.59,10.7653,10.8833,37.2429
2016-10-17,20.0517,11.7515,14.2433,27.6529
2016-10-18,18.8508,6.2079,11.79,36.0892
2016-10-19,21.4888,0.2556,9.55,42.1183
2016-10-20,33.7138,2.0126,10.9367,21.6454
2016-10-21,30.3878,9.487,9.3367,11.5758
2016-10-22,22.7459,11.033,12.0033,16.49
2016-10-23,22.5491,19.1708,22.6167,9.92
2016-10-24,22.82,19.6174,20.3233,3.3867
2016-10-25,23.5557,22.934,27.63,7.1596
2016-10-26,32.3862,36.9215,41.71,5.255
2016-10-27,23.5226,21.0879,21.1767,19.9291
2016-10-28,13.2933,7.8209,15.15,35.2771
2016-10-29,22.8482,13.467,13.1233,17.3812
2016-10-30,26.9418,22.7576,20.3233,13.7196
2016-10-31,35.4257,18.9053,20.27,6.9217
2016-11-01,34.4662,13.8728,12.3233,12.8308
2016-11-02,18.205,3.0983,8.3233,33.9771
2016-11-03,22.4777,5.9562,9.1233,28.5283
2016-11-04,26.775,13.3188,19.5233,17.3868
2016-11-05,,7.865,7.4167,41.4896
2016-11-06,5.6213,2.5123,7.5233,50.4817
2016-11-07,22.8821,8.8367,10.0833,19.3704
2016-11-08,26.2304,13.26,12.1633,17.6143
2016-11-09,31.5888,13.4647,12.5367,8.21
2016-11-10,33.2423,12.6332,10.0833,9.5404
2016-11-11,30.4027,25.996,23.0433,11.9308
2016-11-12,29.9687,34.4676,37.9767,6.8883
2016-11-13,20.4942,28.1039,23.31,10.5696
2016-11-14,29.8695,26.6794,23.95,1.4796
2016-11-15,23.1361,9.0797,6.7767,12.6629
2016-11-16,14.7196,1.6696,7.0433,37.237
2016-11-17,12.495,3.4039,10.2433,50.7
2016-11-18,14.3545,2.9754,5.55,59.5588
2016-11-19,12.793,5.7292,7.4167,48.1504
2016-11-20,8.3808,2.6234,8.3233,51.4274
2016-11-21,12.9429,1.1613,7.15,44.8929
2016-11-22,16.0962,2.2081,9.3367,45.1712
2016-11-23,39.1925,7.721,17.87,4.0358
2016-11-24,18.2354,,7.2033,34.4391
2016-11-25,30.5545,14.0129,10.0833,19.8417
2016-11-26,,27.6642,24.6433,2.7029
2016-11-27,30.5309,12.127,22.4567,29.3479
2016-11-28,35.0505,10.4105,13.1233,21.5876
2016-11-29,50.1445,23.7541,23.0433,8.1488
2016-11-30,48.1612,21.3355,24.4833,6.8304
2016-12-01,33.7609,14.6074,17.3367,14.6425
2016-12-02,44.47,9.8804,15.3633,29.1052
2016-12-03,51.1687,27.0992,19.63,9.8138
2016-12-04,,30.0758,23.63,7.1833
2016-12-05,46.7229,28.3944,30.3348,2.318
2016-12-06,47.357,44.3987,52.5135,1.8478
2016-12-07,42.6868,25.2003,27.0967,9.3871
2016-12-08,35.0448,20.6681,23.0433,18.7538
2016-12-09,39.76,32.558,33.2833,4.5808
2016-12-10,29.79,29.7727,34.51,7.8195
2016-12-11,,6.4878,13.1233,51.4837
2016-12-12,27.049,17.0208,15.2567,17.845
2016-12-13,26.4367,25.1673,22.35,13.9729
